circ,circ_hash,circ_key,ori_latency,merged_latency,grape_res,1q_count,2q_count
"          
q_0: ──■──
     ┌─┴─┐
q_1: ┤ X ├
     └───┘",ed5c9ae7ce007684fa7450bc52dd233cebbe31cdbe0acc0df8f7d4b1cb082294,"[[1. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0. 0. 0.]]",13.5,13.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239AE433B88>,0,1
"     ┌───┐
q_0: ┤ H ├
     └───┘",f30c4b9600a1aeb68220abdbb57a0c675d03e2ec060cb1019309b43ed8fd7b24,"[[ 0.71  0.71  0.    0.  ]
 [ 0.71 -0.71  0.    0.  ]]",6.0,6.0,<quantum_optimal_control.core.run_session.run_session object at 0x00000239B7693788>,1,0
"     ┌───┐
q_0: ┤ T ├
     └───┘",fcb41cc47e0f8d7ccc1aa85cb1035e7ec2b683e6f54b084bb8a5d8eef110dec3,"[[1.   0.   0.   0.  ]
 [0.   0.71 0.   0.71]]",1.0,1.0,<quantum_optimal_control.core.run_session.run_session object at 0x00000239BA8653C8>,1,0
"          ┌───┐┌───┐
q_0: ──■──┤ H ├┤ T ├
     ┌─┴─┐├───┤└───┘
q_1: ┤ X ├┤ T ├─────
     └───┘└───┘     ",b3d5b1423dae58ca9191a23d216a2716b753080fc4eea88932bfccb4e2319658,"[[ 0.71  0.    0.    0.71  0.    0.    0.    0.  ]
 [ 0.5   0.    0.   -0.5   0.5   0.    0.   -0.5 ]
 [ 0.    0.5   0.5   0.    0.    0.5   0.5   0.  ]
 [ 0.    0.    0.    0.    0.   -0.71  0.71  0.  ]]",20.5,11.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239B9704348>,2,1
"          ┌───┐┌───┐
q_0: ──■──┤ X ├┤ T ├
     ┌─┴─┐└─┬─┘├───┤
q_1: ┤ X ├──■──┤ T ├
     └───┘     └───┘",0eb12e6b3ed8f0c64838a0ea11f0602a27e7dfff2018fa05ed88fcdcc2a2f018,"[[1.   0.   0.   0.   0.   0.   0.   0.  ]
 [0.   0.   0.   0.71 0.   0.   0.   0.71]
 [0.   0.71 0.   0.   0.   0.71 0.   0.  ]
 [0.   0.   0.   0.   0.   0.   1.   0.  ]]",28.0,15.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239B9D8A988>,1,2
"     ┌───┐┌───┐
q_0: ┤ T ├┤ X ├
     └───┘└─┬─┘
q_1: ───────■──
               ",2bae9b782524efdad2430e2795837948c2d3bcba0c0fc7049a8eeb15b77ee07f,"[[1.   0.   0.   0.   0.   0.   0.   0.  ]
 [0.   0.71 0.   0.   0.   0.71 0.   0.  ]
 [0.   0.   0.   0.71 0.   0.   0.   0.71]
 [0.   0.   1.   0.   0.   0.   0.   0.  ]]",14.5,12.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239BEDB3B08>,1,1
"     ┌─────┐
q_0: ┤ TDG ├
     └─────┘",10e5aa5d296d5835ebc3f074000886f8e287cc54e5b514a557382e168cb0c4d0,"[[ 1.    0.    0.    0.  ]
 [ 0.    0.71  0.   -0.71]]",1.5,1.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239ADE492C8>,1,0
"                 
q_0: ──■─────────
     ┌─┴─┐┌─────┐
q_1: ┤ X ├┤ TDG ├
     └───┘└─────┘",f255018f5f8ee37b89a3bb62bd657715354dc240ec9905dc94344f8867ec1edc,"[[ 1.    0.    0.    0.    0.    0.    0.    0.  ]
 [ 0.    0.    0.    1.    0.    0.    0.    0.  ]
 [ 0.    0.    0.71  0.    0.    0.   -0.71  0.  ]
 [ 0.    0.71  0.    0.    0.   -0.71  0.    0.  ]]",15.0,12.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239BEC64CC8>,1,1
"               
q_0: ──■───────
     ┌─┴─┐┌───┐
q_1: ┤ X ├┤ T ├
     └───┘└───┘",1dd5ad5ea9279abcb930359872a50853cc96e3074855dfabb898e39d19438300,"[[1.   0.   0.   0.   0.   0.   0.   0.  ]
 [0.   0.   0.   1.   0.   0.   0.   0.  ]
 [0.   0.   0.71 0.   0.   0.   0.71 0.  ]
 [0.   0.71 0.   0.   0.   0.71 0.   0.  ]]",14.5,11.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239BA72E1C8>,1,1
"          ┌─────┐
q_0: ──■──┤ TDG ├
     ┌─┴─┐├─────┤
q_1: ┤ X ├┤ TDG ├
     └───┘└─────┘",87575a77b4400534ff21b336a6c804ba290771936882e52316209cb30a1345e7,"[[ 1.    0.    0.    0.    0.    0.    0.    0.  ]
 [ 0.    0.    0.    0.71  0.    0.    0.   -0.71]
 [ 0.    0.    0.71  0.    0.    0.   -0.71  0.  ]
 [ 0.    0.    0.    0.    0.   -1.    0.    0.  ]]",15.0,12.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239C28AFA48>,1,1
"                    
q_0: ──■────────────
     ┌─┴─┐┌───┐┌───┐
q_1: ┤ X ├┤ H ├┤ T ├
     └───┘└───┘└───┘",161aa6e6f2a7a44a6317eb08267a5063178ccbce7bfbf843e7bc2693a20c7e66,"[[ 0.71  0.    0.71  0.    0.    0.    0.    0.  ]
 [ 0.    0.71  0.    0.71  0.    0.    0.    0.  ]
 [ 0.5   0.   -0.5   0.    0.5   0.   -0.5   0.  ]
 [ 0.   -0.5   0.    0.5   0.   -0.5   0.    0.5 ]]",20.5,13.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239C3581A48>,2,1
"          ┌───┐     
q_0: ──■──┤ T ├──■──
     ┌─┴─┐├───┤┌─┴─┐
q_1: ┤ X ├┤ T ├┤ X ├
     └───┘└───┘└───┘",8adb89144ec18963456eba8cca73ed7357567077cf7566d7e4e545fc0402b466,"[[1.   0.   0.   0.   0.   0.   0.   0.  ]
 [0.   0.   0.   0.   0.   1.   0.   0.  ]
 [0.   0.   0.71 0.   0.   0.   0.71 0.  ]
 [0.   0.   0.   0.71 0.   0.   0.   0.71]]",28.0,12.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239BFBAE288>,1,2
"               
q_0: ──■───────
     ┌─┴─┐┌───┐
q_1: ┤ X ├┤ H ├
     └───┘└───┘",33652a31b82ad8499ce0addf2d684931c447e33f3974593212d7a5858d4d0702,"[[ 0.71  0.    0.71  0.    0.    0.    0.    0.  ]
 [ 0.    0.71  0.    0.71  0.    0.    0.    0.  ]
 [ 0.71  0.   -0.71  0.    0.    0.    0.    0.  ]
 [ 0.   -0.71  0.    0.71  0.    0.    0.    0.  ]]",19.5,14.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239BE841CC8>,1,1
"          ┌───┐┌───┐
q_0: ──■──┤ H ├┤ T ├
     ┌─┴─┐└───┘└───┘
q_1: ┤ X ├──────────
     └───┘          ",bac7ce154054da31f647f3d5a851794fa3e92e8bb6f7cc77168cb094cde2fd13,"[[ 0.71  0.    0.    0.71  0.    0.    0.    0.  ]
 [ 0.5   0.    0.   -0.5   0.5   0.    0.   -0.5 ]
 [ 0.    0.71  0.71  0.    0.    0.    0.    0.  ]
 [ 0.   -0.5   0.5   0.    0.   -0.5   0.5   0.  ]]",20.5,12.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239C24B0148>,2,1
"     ┌───┐     
q_0: ┤ T ├──■──
     ├───┤┌─┴─┐
q_1: ┤ T ├┤ X ├
     └───┘└───┘",7f0cd0013020a8891af1a07143e5c22c5b15055f45e30f12b63d0f2430b79542,"[[1.   0.   0.   0.   0.   0.   0.   0.  ]
 [0.   0.   0.   0.   0.   0.   0.   1.  ]
 [0.   0.   0.71 0.   0.   0.   0.71 0.  ]
 [0.   0.71 0.   0.   0.   0.71 0.   0.  ]]",14.5,12.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239C27E14C8>,1,1
"     ┌───┐┌───┐
q_0: ┤ T ├┤ X ├
     ├───┤└─┬─┘
q_1: ┤ T ├──■──
     └───┘     ",e3abb0c7affa8dbaf7123c1b0409dd182cb3091061a50700067ae5fb003fab23,"[[1.   0.   0.   0.   0.   0.   0.   0.  ]
 [0.   0.71 0.   0.   0.   0.71 0.   0.  ]
 [0.   0.   0.   0.   0.   0.   0.   1.  ]
 [0.   0.   0.71 0.   0.   0.   0.71 0.  ]]",14.5,11.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239C8778108>,1,1
"     ┌───┐┌───┐            
q_0: ┤ H ├┤ T ├──■─────────
     └───┘└───┘┌─┴─┐┌─────┐
q_1: ──────────┤ X ├┤ TDG ├
               └───┘└─────┘",6de974bc80983b380cc468dd13fed7b4cce5b6f6341f97730c85290b7e3438a9,"[[ 0.71  0.71  0.    0.    0.    0.    0.    0.  ]
 [ 0.    0.    0.5  -0.5   0.    0.    0.5  -0.5 ]
 [ 0.    0.    0.5   0.5   0.    0.   -0.5  -0.5 ]
 [ 0.71 -0.71  0.    0.    0.    0.    0.    0.  ]]",22.0,11.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239CBA82B88>,3,1
"          ┌───┐
q_0: ──■──┤ T ├
     ┌─┴─┐└───┘
q_1: ┤ X ├─────
     └───┘     ",8ee8595fc41aff02ad4200501ff3d886e4375640d1e69d16112333d75bce7a64,"[[1.   0.   0.   0.   0.   0.   0.   0.  ]
 [0.   0.   0.   0.71 0.   0.   0.   0.71]
 [0.   0.   1.   0.   0.   0.   0.   0.  ]
 [0.   0.71 0.   0.   0.   0.71 0.   0.  ]]",14.5,12.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239CB633C08>,1,1
"          ┌───┐
q_0: ──■──┤ T ├
     ┌─┴─┐├───┤
q_1: ┤ X ├┤ T ├
     └───┘└───┘",2cce568a3bb56ac4891e021ac4d9e317b6ec0e50239966318f61680588700d88,"[[1.   0.   0.   0.   0.   0.   0.   0.  ]
 [0.   0.   0.   0.71 0.   0.   0.   0.71]
 [0.   0.   0.71 0.   0.   0.   0.71 0.  ]
 [0.   0.   0.   0.   0.   1.   0.   0.  ]]",14.5,12.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239C2AA1708>,1,1
"     ┌───┐
q_0: ┤ X ├
     └───┘",2f04f518b7ae2a8093d10d4b4cc28feb8ee8a1229176ca937f00f904765f4b9a,"[[0. 1. 0. 0.]
 [1. 0. 0. 0.]]",6.5,6.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239CD194308>,1,0
"          ┌───┐┌───┐
q_0: ──■──┤ H ├┤ T ├
     ┌─┴─┐├───┤├───┤
q_1: ┤ X ├┤ X ├┤ T ├
     └───┘└───┘└───┘",73b303f01f26e435f33e10ac0d4cca64316ed52128186a86f3ba2dc75095d97e,"[[ 0.    0.71  0.71  0.    0.    0.    0.    0.  ]
 [ 0.   -0.5   0.5   0.    0.   -0.5   0.5   0.  ]
 [ 0.5   0.    0.    0.5   0.5   0.    0.    0.5 ]
 [ 0.    0.    0.    0.    0.71  0.    0.   -0.71]]",21.0,11.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239D1B237C8>,2,1
"          ┌───┐┌───┐
q_0: ──■──┤ X ├┤ T ├
     ┌─┴─┐├───┤└───┘
q_1: ┤ X ├┤ T ├─────
     └───┘└───┘     ",05620a1643a451708aabf1572bba8b2a2a1ae06af9fd75fd4c94f96f5c2e2de5,"[[0.   0.   0.   1.   0.   0.   0.   0.  ]
 [0.71 0.   0.   0.   0.71 0.   0.   0.  ]
 [0.   0.71 0.   0.   0.   0.71 0.   0.  ]
 [0.   0.   0.   0.   0.   0.   1.   0.  ]]",21.0,12.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239CF615288>,2,1
"          ┌───┐
q_0: ──■──┤ T ├
     ┌─┴─┐├───┤
q_1: ┤ X ├┤ X ├
     └───┘└───┘",44be290b79309ea8485ef4e702e38a2bf8bdae1ca517f25e2703ab1546644098,"[[0.   0.   1.   0.   0.   0.   0.   0.  ]
 [0.   0.71 0.   0.   0.   0.71 0.   0.  ]
 [1.   0.   0.   0.   0.   0.   0.   0.  ]
 [0.   0.   0.   0.71 0.   0.   0.   0.71]]",20.0,11.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239C00B9F08>,1,1
"          ┌───┐     
q_0: ──■──┤ T ├─────
     ┌─┴─┐├───┤┌───┐
q_1: ┤ X ├┤ H ├┤ T ├
     └───┘└───┘└───┘",076b864507acc940a47981fbd408e597ffd19dab96b9ef5524248cd5cf633162,"[[ 0.71  0.    0.71  0.    0.    0.    0.    0.  ]
 [ 0.    0.5   0.    0.5   0.    0.5   0.    0.5 ]
 [ 0.5   0.   -0.5   0.    0.5   0.   -0.5   0.  ]
 [ 0.    0.    0.    0.    0.   -0.71  0.    0.71]]",20.5,12.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239D4F5DA08>,2,1
"          ┌───┐┌───┐
q_0: ──■──┤ H ├┤ T ├
     ┌─┴─┐├───┤├───┤
q_1: ┤ X ├┤ H ├┤ T ├
     └───┘└───┘└───┘",e809fe65d32b1337dfdc2eba1b8776286cd94e9bbb93f88e5f531d9066b8f751,"[[ 0.5   0.5   0.5   0.5   0.    0.    0.    0.  ]
 [ 0.35 -0.35  0.35 -0.35  0.35 -0.35  0.35 -0.35]
 [ 0.35 -0.35 -0.35  0.35  0.35 -0.35 -0.35  0.35]
 [ 0.    0.    0.    0.    0.5   0.5  -0.5  -0.5 ]]",20.5,14.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239D46A5708>,2,1
"                         
q_0: ──■─────────────────
     ┌─┴─┐┌───┐┌───┐┌───┐
q_1: ┤ X ├┤ H ├┤ X ├┤ T ├
     └───┘└───┘└───┘└───┘",cdcf745ea11c7e03a2814f549c5e226455bfa61f62bf045e3724428f18aa93ea,"[[ 0.71  0.   -0.71  0.    0.    0.    0.    0.  ]
 [ 0.   -0.71  0.    0.71  0.    0.    0.    0.  ]
 [ 0.5   0.    0.5   0.    0.5   0.    0.5   0.  ]
 [ 0.    0.5   0.    0.5   0.    0.5   0.    0.5 ]]",27.0,13.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239D87B18C8>,3,1
"          ┌───┐     
q_0: ──■──┤ T ├─────
     ┌─┴─┐├───┤┌───┐
q_1: ┤ X ├┤ X ├┤ T ├
     └───┘└───┘└───┘",f3362d6c5d487967c88fad1c7e7b7a475933e19f4014580611800f64ec93e075,"[[0.   0.   1.   0.   0.   0.   0.   0.  ]
 [0.   0.71 0.   0.   0.   0.71 0.   0.  ]
 [0.71 0.   0.   0.   0.71 0.   0.   0.  ]
 [0.   0.   0.   0.   0.   0.   0.   1.  ]]",21.0,13.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239DA08F2C8>,2,1
"          ┌───┐          
q_0: ──■──┤ T ├───────■──
     ┌─┴─┐├───┤┌───┐┌─┴─┐
q_1: ┤ X ├┤ X ├┤ T ├┤ X ├
     └───┘└───┘└───┘└───┘",d017abd8f14508721d357cb3b59cbfadc0ed59016916101751c8dee448b8236e,"[[0.   0.   1.   0.   0.   0.   0.   0.  ]
 [0.   0.   0.   0.   0.   0.   0.   1.  ]
 [0.71 0.   0.   0.   0.71 0.   0.   0.  ]
 [0.   0.71 0.   0.   0.   0.71 0.   0.  ]]",34.5,12.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239CE00FBC8>,2,2
"     ┌───┐          
q_0: ┤ T ├───────■──
     ├───┤┌───┐┌─┴─┐
q_1: ┤ X ├┤ T ├┤ X ├
     └───┘└───┘└───┘",d8922a82876a1f63819a0dbd6a8caa95f01731ddd8284702195cbecb76fd4099,"[[0.   0.   1.   0.   0.   0.   0.   0.  ]
 [0.   0.   0.   0.   0.   1.   0.   0.  ]
 [0.71 0.   0.   0.   0.71 0.   0.   0.  ]
 [0.   0.   0.   0.71 0.   0.   0.   0.71]]",21.0,11.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239CB8C9BC8>,2,1
"          ┌───┐┌───┐
q_0: ──■──┤ X ├┤ T ├
     ┌─┴─┐├───┤├───┤
q_1: ┤ X ├┤ X ├┤ T ├
     └───┘└───┘└───┘",c7c8013f49bbf18bb947350ffd8f7a3902ef8e0085fb2e9e2f60cbd7a52c8a6c,"[[0.   1.   0.   0.   0.   0.   0.   0.  ]
 [0.   0.   0.71 0.   0.   0.   0.71 0.  ]
 [0.   0.   0.   0.71 0.   0.   0.   0.71]
 [0.   0.   0.   0.   1.   0.   0.   0.  ]]",21.0,12.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239D5AC08C8>,2,1
"          ┌───┐┌───┐     
q_0: ──■──┤ X ├┤ T ├──■──
     ┌─┴─┐├───┤└───┘┌─┴─┐
q_1: ┤ X ├┤ T ├─────┤ X ├
     └───┘└───┘     └───┘",a609ff7e20041d29bd70660a19c55e1aac44bcac8787595b08865ee9b580d2d2,"[[0.   0.   0.   1.   0.   0.   0.   0.  ]
 [0.   0.   0.   0.   0.   0.   1.   0.  ]
 [0.   0.71 0.   0.   0.   0.71 0.   0.  ]
 [0.71 0.   0.   0.   0.71 0.   0.   0.  ]]",34.5,12.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239CF65A1C8>,2,2
"          ┌───┐┌───┐
q_0: ──■──┤ X ├┤ T ├
     ┌─┴─┐├───┤├───┤
q_1: ┤ X ├┤ H ├┤ T ├
     └───┘└───┘└───┘",9e7604acf5a3dfaf7b832caa501d7e1be9e6a20105e8c9bbbe0bcf7a3fac1cd3,"[[ 0.    0.71  0.    0.71  0.    0.    0.    0.  ]
 [ 0.5   0.    0.5   0.    0.5   0.    0.5   0.  ]
 [ 0.   -0.5   0.    0.5   0.   -0.5   0.    0.5 ]
 [ 0.    0.    0.    0.    0.71  0.   -0.71  0.  ]]",21.0,13.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239DB95EA48>,2,1
"     ┌───┐┌───┐     
q_0: ┤ X ├┤ T ├──■──
     └───┘└───┘┌─┴─┐
q_1: ──────────┤ X ├
               └───┘",b97d90b9d3b89eb72a7224051c603f9b861e821cbd1574bd0f93a9671eabe7ee,"[[0.   1.   0.   0.   0.   0.   0.   0.  ]
 [0.   0.   0.71 0.   0.   0.   0.71 0.  ]
 [0.   0.   0.   1.   0.   0.   0.   0.  ]
 [0.71 0.   0.   0.   0.71 0.   0.   0.  ]]",21.0,12.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239E1ED0C48>,2,1
"     ┌───┐┌───┐┌───┐            
q_0: ┤ X ├┤ H ├┤ T ├──■─────────
     └───┘└───┘└───┘┌─┴─┐┌─────┐
q_1: ───────────────┤ X ├┤ TDG ├
                    └───┘└─────┘",4264a526211ca494105039b44f0afe61565e095f65f2c422cc58307dc8cfb824,"[[ 0.71  0.71  0.    0.    0.    0.    0.    0.  ]
 [ 0.    0.   -0.5   0.5   0.    0.   -0.5   0.5 ]
 [ 0.    0.    0.5   0.5   0.    0.   -0.5  -0.5 ]
 [-0.71  0.71  0.    0.    0.    0.    0.    0.  ]]",28.5,11.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239D86E3248>,4,1
"     ┌───┐     ┌───┐
q_0: ┤ T ├─────┤ X ├
     ├───┤┌───┐└─┬─┘
q_1: ┤ X ├┤ T ├──■──
     └───┘└───┘     ",cbea5e2bb1aa31019f75a8d3f276a9e0370e481a71d21b0e9d85815a79eb1ea2,"[[0.   0.   1.   0.   0.   0.   0.   0.  ]
 [0.   0.   0.   0.71 0.   0.   0.   0.71]
 [0.   0.   0.   0.   0.   1.   0.   0.  ]
 [0.71 0.   0.   0.   0.71 0.   0.   0.  ]]",21.0,13.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239DAC8D708>,2,1
"     ┌───┐┌───┐┌───┐
q_0: ┤ X ├┤ T ├┤ X ├
     └───┘└───┘└─┬─┘
q_1: ────────────■──
                    ",b4f4a0d005560c429b38d61e99730e09412709c01bce05132e50c743ccc35c5b,"[[0.   1.   0.   0.   0.   0.   0.   0.  ]
 [0.71 0.   0.   0.   0.71 0.   0.   0.  ]
 [0.   0.   0.71 0.   0.   0.   0.71 0.  ]
 [0.   0.   0.   1.   0.   0.   0.   0.  ]]",21.0,12.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239E2182908>,2,1
"          ┌───┐┌───┐     
q_0: ──■──┤ X ├┤ T ├──■──
     ┌─┴─┐├───┤├───┤┌─┴─┐
q_1: ┤ X ├┤ X ├┤ T ├┤ X ├
     └───┘└───┘└───┘└───┘",d03ca4e70551de7594b13a87975e2be66dbb18f57aeaab2018842a844dbee90b,"[[0.   1.   0.   0.   0.   0.   0.   0.  ]
 [0.   0.   0.   0.   1.   0.   0.   0.  ]
 [0.   0.   0.   0.71 0.   0.   0.   0.71]
 [0.   0.   0.71 0.   0.   0.   0.71 0.  ]]",34.5,13.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239E3C31148>,2,2
"                    
q_0: ──■────────────
     ┌─┴─┐┌───┐┌───┐
q_1: ┤ X ├┤ H ├┤ X ├
     └───┘└───┘└───┘",597eca5e275860902d54cdb394a81fa05c24163b8544ea4b649ab9fbc23ed9f6,"[[ 0.71  0.   -0.71  0.    0.    0.    0.    0.  ]
 [ 0.   -0.71  0.    0.71  0.    0.    0.    0.  ]
 [ 0.71  0.    0.71  0.    0.    0.    0.    0.  ]
 [ 0.    0.71  0.    0.71  0.    0.    0.    0.  ]]",26.0,13.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239DD264508>,2,1
"          ┌───┐┌───┐┌───┐     
q_0: ──■──┤ X ├┤ X ├┤ T ├──■──
     ┌─┴─┐└───┘└─┬─┘├───┤┌─┴─┐
q_1: ┤ X ├───────■──┤ T ├┤ X ├
     └───┘          └───┘└───┘",c3827be2fdf5e809dec5b007bcf5275e3590042602e1f0eaa8ed95f7afd4324c,"[[0.   0.   0.   1.   0.   0.   0.   0.  ]
 [0.   0.   0.   0.   0.   1.   0.   0.  ]
 [0.   0.   0.71 0.   0.   0.   0.71 0.  ]
 [0.71 0.   0.   0.   0.71 0.   0.   0.  ]]",48.0,17.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239DD29DC88>,2,3
"          ┌───┐          
q_0: ──■──┤ X ├──────────
     ┌─┴─┐└─┬─┘┌───┐┌───┐
q_1: ┤ X ├──■──┤ H ├┤ T ├
     └───┘     └───┘└───┘",99a1ef1698a954406841e820287989cc01bb56228a5fed0fad53a8bc0127395c,"[[ 0.71  0.71  0.    0.    0.    0.    0.    0.  ]
 [ 0.    0.    0.71  0.71  0.    0.    0.    0.  ]
 [ 0.5  -0.5   0.    0.    0.5  -0.5   0.    0.  ]
 [ 0.    0.   -0.5   0.5   0.    0.   -0.5   0.5 ]]",34.0,13.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239E077A648>,2,2
"          ┌───┐     
q_0: ──■──┤ X ├─────
     ┌─┴─┐├───┤┌───┐
q_1: ┤ X ├┤ H ├┤ T ├
     └───┘└───┘└───┘",ac32bc1330371523541d98384b7db02d8b979039add9ad21a6ae4bc54a7c1eff,"[[ 0.    0.71  0.    0.71  0.    0.    0.    0.  ]
 [ 0.71  0.    0.71  0.    0.    0.    0.    0.  ]
 [ 0.   -0.5   0.    0.5   0.   -0.5   0.    0.5 ]
 [ 0.5   0.   -0.5   0.    0.5   0.   -0.5   0.  ]]",20.5,13.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239CF8B3A48>,2,1
"               
q_0: ──■────■──
     ┌─┴─┐┌─┴─┐
q_1: ┤ X ├┤ X ├
     └───┘└───┘",706163323d8297a253f480be921c1d779328e41a232239d9d24c67deb9258b08,"[[1. 0. 0. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0. 0.]]",27.0,3.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239E88E0148>,0,2
"     ┌───┐┌───┐          
q_0: ┤ X ├┤ X ├──────────
     └───┘└─┬─┘┌───┐┌───┐
q_1: ───────■──┤ H ├┤ T ├
               └───┘└───┘",47ccfc0307f8daf5272813a0659da9543825efe575a2616d17fe1fbb53f8c555,"[[ 0.    0.71  0.71  0.    0.    0.    0.    0.  ]
 [ 0.71  0.    0.    0.71  0.    0.    0.    0.  ]
 [ 0.    0.5  -0.5   0.    0.    0.5  -0.5   0.  ]
 [ 0.5   0.    0.   -0.5   0.5   0.    0.   -0.5 ]]",27.0,11.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239ECF8B108>,3,1
"          ┌───┐
q_0: ──■──┤ X ├
     ┌─┴─┐└─┬─┘
q_1: ┤ X ├──■──
     └───┘     ",465f3b6e46a9ec5338e2173f031d02162a4ab47c058061f42f5166049723df84,"[[1. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0. 0. 0.]]",27.0,14.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239E77A34C8>,0,2
"          ┌───┐     
q_0: ──■──┤ X ├─────
     ┌─┴─┐└─┬─┘┌───┐
q_1: ┤ X ├──■──┤ T ├
     └───┘     └───┘",9b5cff0980203f1d2f9211cdac75a6af22c32f3d2c9d7fc9e7fea4bfcc05d092,"[[1.   0.   0.   0.   0.   0.   0.   0.  ]
 [0.   0.   0.   1.   0.   0.   0.   0.  ]
 [0.   0.71 0.   0.   0.   0.71 0.   0.  ]
 [0.   0.   0.71 0.   0.   0.   0.71 0.  ]]",28.0,15.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239F0155D48>,1,2
"          ┌───┐┌───┐
q_0: ──■──┤ X ├┤ T ├
     ┌─┴─┐└─┬─┘└───┘
q_1: ┤ X ├──■───────
     └───┘          ",6bf20a9b54ebb28a461767bc327b562b16a3cf8ac839f1ac55b7fa5a3caaa1ed,"[[1.   0.   0.   0.   0.   0.   0.   0.  ]
 [0.   0.   0.   0.71 0.   0.   0.   0.71]
 [0.   1.   0.   0.   0.   0.   0.   0.  ]
 [0.   0.   0.71 0.   0.   0.   0.71 0.  ]]",28.0,16.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239E3941108>,1,2
"          ┌───┐┌───┐     
q_0: ──■──┤ X ├┤ T ├──■──
     ┌─┴─┐└─┬─┘├───┤┌─┴─┐
q_1: ┤ X ├──■──┤ T ├┤ X ├
     └───┘     └───┘└───┘",4d712b6cd9290747adc1d533eeee94ce378f0924d729bfd720a0ffa2b25d90dd,"[[1.   0.   0.   0.   0.   0.   0.   0.  ]
 [0.   0.   0.   0.   0.   0.   1.   0.  ]
 [0.   0.71 0.   0.   0.   0.71 0.   0.  ]
 [0.   0.   0.   0.71 0.   0.   0.   0.71]]",41.5,17.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239E4273C48>,1,3
"          ┌───┐┌───┐┌───┐
q_0: ──■──┤ X ├┤ H ├┤ T ├
     ┌─┴─┐└─┬─┘├───┤└───┘
q_1: ┤ X ├──■──┤ T ├─────
     └───┘     └───┘     ",bacff89b9a5d590adb24b69aa86cf14a566a8f0eab540c9a3d98f2a70ee3bcd4,"[[ 0.71  0.    0.    0.71  0.    0.    0.    0.  ]
 [ 0.5   0.    0.   -0.5   0.5   0.    0.   -0.5 ]
 [ 0.    0.5   0.5   0.    0.    0.5   0.5   0.  ]
 [ 0.    0.    0.    0.    0.    0.71 -0.71  0.  ]]",34.0,15.5,<quantum_optimal_control.core.run_session.run_session object at 0x00000239F5D07B88>,2,2
